id,user_id,car_id,service_item,performed_date,mileage,cost,shop,invoice_number,notes,next_due_date,next_due_mileage,created_at
14,2,12,Tire Rotation,2022-08-14 00:00:00.000000,27640,0,Pingrey Ford,41609,Buncha Shit.,,,2025-07-10 00:34:54.362217
15,2,12,Engine Air Filter,2022-08-14 00:00:00.000000,27640,55.64,Pingrey Ford,41609,Buncha Shit.,,,2025-07-10 00:34:54.369021
16,2,12,Cabin Air Filter,2022-08-14 00:00:00.000000,27640,31.94,Pingrey Ford,41609,Buncha Shit.,,,2025-07-10 00:34:54.375169
17,2,12,Battery Test,2022-08-14 00:00:00.000000,27640,0,Pingrey Ford,41609,Buncha Shit.,,,2025-07-10 00:34:54.381429
18,2,12,Brake Inspection,2022-08-14 00:00:00.000000,27640,0,Pingrey Ford,41609,Buncha Shit.,,,2025-07-10 00:34:54.388413
20,2,12,Engine Oil & Filter,2022-01-26 00:00:00.000000,18857,167.08,Pingrey Ford,34838,"Oil & Filter.
Rotate Tires.
Software Update.",,,2025-07-10 01:19:25.978962
25,2,12,New Tires and Wheels for Winter,2021-11-18 00:00:00.000000,15000,3339.42,Les Schwab,41800466147,"4x - 18x9 8-170 XD847 Wheels
4x - LT275/65R/18-18/10 123/120S Back Country AT2 tires.
Mounted and Balanced
33560 (B) EZ Go Tire Pressure Monitoring System Sensors
32x - Lug Nuts.",,,2025-07-10 01:29:28.744514
21,2,12,Engine Oil & Filter,2021-10-06 00:00:00.000000,11858,111.57,Pingrey Ford,33008,"Oil, Filter, and DEF.",,,2025-07-10 01:22:23.023551
22,2,12,DEF (Diesel Exhaust Fluid),2021-10-06 00:00:00.000000,11858,27.86,Pingrey Ford,33008,"Oil, Filter, and DEF.",,,2025-07-10 01:22:23.039606
23,2,12,Engine Oil & Filter,2021-08-30 00:00:00.000000,7394,109.17,Pingrey Ford,32329,Oil change and tire rotation.,,,2025-07-10 01:24:53.390897
24,2,12,Tire Rotation,2021-08-30 00:00:00.000000,7394,0,Pingrey Ford,32329,Oil change and tire rotation.,,,2025-07-10 01:24:53.439853
44,2,13,Coolant Hose Repair,2025-06-29 00:00:00.000000,,700.7,Tough Truck,0001650,"Replaced a couple of coolant hoses, as we sprung a leak going to Napa for Andrea Bocelli.",,,2025-07-10 14:32:47.478695
45,2,13,Coolant/Antifreeze,2025-06-29 00:00:00.000000,,0,Tough Truck,0001650,"Replaced a couple of coolant hoses, as we sprung a leak going to Napa for Andrea Bocelli.",,,2025-07-10 14:32:47.493920
46,2,13,Hydraulic Hose Replacement,2025-03-28 00:00:00.000000,,828.5,Tough Truck,0001650,"Replace hydraulic hoses to tranny cooler.  
Replace one return oil hose.
Reseal a couple of coolant hoses.",,,2025-07-10 14:38:23.094706
47,2,13,RV Service,2024-11-05 00:00:00.000000,128369,2290.78,Cascade Diesel,0095266,"Serviced Aquahot.  Installed new Fan Motor and Limit Switch.
Cleaned connection for alarm switch to air tank.
Lubed Steps.
New Serpentine Belt and Tensioner.
Replaced Alternator Fan (to correct spacing).
Replaced House Water Filter (High Flow).
Added steel bracket and large mud flap to help protect the radiator.",,,2025-07-10 15:32:32.542701
